GameID,Week,HomeTeamID,AwayTeamID,HomeScore,AwayScore,DayOfWeek,TimeOfDay,FieldType,Temp,Wind
162,7,24,21,17,16,Sun,Day,a_turf,41,9
163,11,30,21,21,13,Sun,Day,grass ,31,12
164,12,21,31,21,24,Sun,Day,fieldturf,49,0
165,2,27,22,26,24,Sun,Day,grass ,61,6
166,7,32,22,24,23,Sun,Day,fieldturf ,0,0
167,8,22,31,44,23,Sun,Night,sportturf,0,0
168,11,22,29,10,27,Sun,Day,sportturf,0,0
169,13,28,22,32,35,Sun,Day,grass ,63,15
170,1,23,31,36,16,Thu,Night,fieldturf ,71,11
171,1,30,24,20,23,Sun,Day,grass ,74,3
172,2,24,25,29,10,Sun,Day,a_turf,58,4
173,5,32,24,14,17,Sun,Day,fieldturf ,0,0
174,8,26,24,23,43,Sun,Day,fieldturf ,59,16
175,11,25,24,22,9,Thu,Night,grass ,74,4
176,12,24,26,38,3,Mon,Night,fieldturf ,0,0
177,13,24,27,26,10,Sun,Day,a_turf,57,17
178,6,25,31,24,27,Sun,Day,grass ,86,13
179,7,30,25,14,27,Sun,Day,grass ,50,10
180,10,32,25,20,16,Sun,Day,fieldturf ,0,0
181,13,26,25,13,16,Mon,Night,fieldturf ,42,6
182,2,31,26,31,24,Sun,Day,grass ,63,15
183,3,26,30,19,27,Mon,Night,fieldturf ,60,10
184,4,26,32,17,24,Sun,Day,fieldturf ,80,0
185,10,26,28,20,13,Sun,Day,fieldturf ,58,8
186,1,28,27,30,27,Sun,Day,grass ,71,6
187,6,27,28,31,10,Sun,Day,grass ,58,13
188,10,29,27,3,24,Thu,Night,fieldturf ,42,17
189,4,30,31,17,38,Sun,Day,grass ,70,3
190,10,31,30,55,14,Sun,Night,grass ,34,5
191,13,32,30,34,17,Thu,Day,fieldturf ,0,0
192,3,32,31,19,7,Sun,Day,fieldturf ,0,0
